location_name,permit_number,start_time,stop_time,duration_minutes
AKELEY (EX STW) PS,AnW0003,2021-01-28T04:45:00,2021-01-28T05:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T05:00:00,2021-01-28T05:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T05:15:00,2021-01-28T05:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T06:00:00,2021-01-28T06:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T06:15:00,2021-01-28T06:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T06:45:00,2021-01-28T07:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T07:15:00,2021-01-28T12:00:00,285.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T12:15:00,2021-01-28T12:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T12:30:00,2021-01-28T13:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T13:00:00,2021-01-28T13:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T13:30:00,2021-01-28T13:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T13:45:00,2021-01-28T14:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T14:00:00,2021-01-28T14:30:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T14:45:00,2021-01-28T15:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T15:00:00,2021-01-28T15:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T15:30:00,2021-01-28T15:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T16:30:00,2021-01-28T16:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T16:45:00,2021-01-28T17:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T17:30:00,2021-01-28T18:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T18:00:00,2021-01-28T18:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T18:45:00,2021-01-28T19:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T19:00:00,2021-01-28T19:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T19:15:00,2021-01-28T19:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T20:15:00,2021-01-28T20:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-28T20:30:00,2021-01-31T00:45:00,3135.0
AKELEY (EX STW) PS,AnW0003,2021-01-31T00:45:00,2021-01-31T02:15:00,90.0
AKELEY (EX STW) PS,AnW0003,2021-01-31T02:30:00,2021-02-02T00:15:00,2745.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T00:15:00,2021-02-02T00:45:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T01:00:00,2021-02-02T01:30:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T01:30:00,2021-02-02T01:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T01:45:00,2021-02-02T02:30:00,45.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T02:30:00,2021-02-02T03:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T03:00:00,2021-02-02T03:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T03:30:00,2021-02-02T03:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T03:45:00,2021-02-02T04:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T04:00:00,2021-02-02T04:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T04:15:00,2021-02-02T04:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T04:30:00,2021-02-02T04:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T05:00:00,2021-02-02T05:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T05:15:00,2021-02-02T05:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T05:30:00,2021-02-02T05:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T05:45:00,2021-02-02T06:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T06:30:00,2021-02-02T06:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T06:45:00,2021-02-02T08:00:00,75.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T08:00:00,2021-02-02T09:30:00,90.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T09:30:00,2021-02-02T10:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-02-02T10:15:00,2021-02-02T11:00:00,45.0
